,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
71,4EFB.02.164,2.016235028823893e-05,1.948018215511664e-05,8.435829521802175e-07,8.601346073080493e-05,0.0002802025645047097,3.788523412681361e-07,0.013588729283175,9.730395702627215e-09,6.681431908747448e-08,1.998053826959879e-07
72,4EFB.02.165,3.466030057391827e-07,9.861966438904528e-09,3.120254476573367e-12,8.643745894609361e-09,1.396209863718752e-08,4.861418386080497e-07,3.55541543425909e-08,2.433011354017002e-06,5.814584009141533e-07,3.691224538556254e-07
73,4EFB.02.166,1.119999173192312e-08,4.609314078894673e-07,2.234422068291036e-08,6.18315002743342e-10,3.72676733776126e-05,3.05750481723953e-07,0.01202736200659653,2.378916295598967e-10,1.220514214038255e-05,1.43896892627942e-08
74,4EFB.02.167,1.876203213350627e-07,2.513107683900607e-06,0.0001318495329995775,2.221108270951956e-08,9.0687826733936e-05,6.462512350850421e-10,0.01160859977461339,9.34719864113376e-08,1.130082193824825e-12,1.374827466551399e-05
75,4EFB.02.168,5.357154345708153e-06,1.779386385284896e-08,8.373769545314772e-09,2.271300814094149e-10,2.820343475102537e-09,1.451283868225834e-06,0.01022993191544101,0.001107877184685227,9.238556061066042e-06,2.588903380649669e-07
76,4EFB.02.169,1.365507502789656e-10,9.746409373824959e-12,4.345634162122865e-07,5.228900455413518e-12,1.510028979123427e-06,2.808292286922505e-11,1.024162004451396e-14,3.338474934182771e-14,4.364140012653227e-10,5.876455308617583e-09
77,4EFB.02.17,7.820131948982071e-06,0.0006695211291524887,3.379487757102747e-05,0.0001174233961097768,3.323324241066397e-06,3.039277503182877e-10,0.0008676333300095888,1.557028648393637e-05,2.615158597054146e-09,7.047148919759995e-08
78,4EFB.02.170,1.222267249626994e-05,6.041814820764864e-05,2.805723574847591e-09,3.589355761516981e-08,9.643412117635664e-07,1.836667137514053e-06,0.01164671399459332,6.193337361382083e-05,3.684325774345077e-05,1.578506632248308e-06
79,4EFB.02.171,9.74922679260804e-06,9.711443926054866e-06,1.794225892845784e-07,7.039045699053652e-08,5.705608836667068e-05,1.558578758479076e-06,0.0134731456613295,6.24982600367873e-07,5.98785242859434e-05,4.023293514347951e-06
80,4EFB.02.172,7.8357536795465e-08,3.687309971642706e-07,1.176652448028411e-09,5.283710652192567e-11,7.577623402893138e-06,9.178604647045204e-20,0.01664366408910643,6.098143336831761e-09,2.044192314813559e-18,7.622836088796295e-06
81,4EFB.02.173,0.0001786508524393854,7.149941672768654e-05,1.288767648144344e-07,2.505502537952808e-19,9.072879867454222e-05,1.547722731631573e-07,0.0002130879101416351,8.542961453386456e-06,1.26393324337872e-06,4.726743047295536e-07
82,4EFB.02.174,3.427645743498177e-05,7.106961738960478e-06,5.89696117951863e-09,3.699204614740514e-10,0.0003295326204611405,2.217935796946181e-06,0.007958651145527924,6.405110553806214e-05,0.0003249922917508783,0.0005507727167695313
83,4EFB.02.175,3.419327555960675e-06,2.221713946477053e-08,0.000285952656859601,2.983172753494268e-07,0.0001419736051737962,1.394962284532223e-09,0.01105369322811467,0.0001604117368793178,1.058002114301654e-09,3.921605033547824e-06
84,4EFB.02.176,4.356611997399854e-12,8.598952803654154e-20,2.425205608557939e-11,1.768910891931346e-11,6.505926855403676e-07,4.240079528134702e-09,0.0006069759996877546,7.995985221573035e-23,6.955661363633755e-10,8.652594273695774e-15
85,4EFB.02.177,2.643764493337479e-11,3.045030109955326e-14,1.596378490690321e-06,7.45116551750184e-13,9.574423051737409e-12,8.092585472167997e-12,0.01406670037698413,8.997316241551877e-13,2.60423116346319e-10,5.509182922385896e-10
86,4EFB.02.178,3.769980391013429e-08,2.254182492508798e-05,4.240129361812243e-10,6.088489801883111e-17,2.739737702345375e-11,4.956773817267655e-19,0.01458657213975846,8.812548380103905e-13,1.589590774929389e-18,1.286777341965859e-09
87,4EFB.02.179,2.726156154852013e-06,1.370618574127857e-05,1.459532501144862e-07,3.356767694195319e-09,1.03727885235052e-07,5.646870566690361e-08,0.01276361463982663,0.0001066345572859323,2.573824243579033e-09,2.082576021403376e-06
88,4EFB.02.18,3.868530894058809e-07,0.0001741839418685751,1.938305119171994e-08,1.723172005576601e-09,2.241454196915215e-05,1.677640989576241e-08,5.248138206940246e-16,1.054644902067817e-12,8.496799795285059e-08,2.821033679119872e-05
89,4EFB.02.180,3.773578618395406e-10,6.197507143872851e-10,2.96811243241063e-12,8.042389963313046e-16,1.278582527336222e-07,2.114617548940461e-09,1.245593642521237e-23,1.440204983550393e-11,2.522463318989423e-11,4.288772163769996e-06
90,4EFB.02.181,4.076036679980711e-06,1.896417989793313e-16,1.132468827321142e-10,3.951621773025895e-08,2.469907002392161e-08,2.554007056237533e-07,0.013585852214095,1.539334628391168e-07,8.954911133743871e-06,2.472586842619523e-05
